Month,County,Year ,Unemployment_Rate,State
June,Mount Shasta city,2020,3.3,CA
June,Murphys CDP,2020,11.9,CA
June,Murrieta city,2020,14,CA
June,Muscoy CDP,2020,26.5,CA
June,Napa city,2020,13.4,CA
June,National City city,2020,18.4,CA
June,Needles city,2020,9.8,CA
June,Nevada City city,2020,11.1,CA
June,Newark city,2020,12.8,CA
June,Newman city,2020,19.1,CA
June,Newport Beach city,2020,10.4,CA
June,Nice CDP,2020,9.2,CA
June,Nipomo CDP,2020,16.2,CA
June,Norco city,2020,12.3,CA
June,North Auburn CDP,2020,9.2,CA
June,North Edwards CDP,2020,25.2,CA
June,North El Monte CDP,2020,10.8,CA
June,North Fair Oaks CDP,2020,8,CA
June,North Highlands CDP,2020,11.5,CA
June,North Lakeport CDP,2020,5.6,CA
June,Norwalk city,2020,20.4,CA
June,Novato city,2020,10.5,CA
June,Nuevo CDP,2020,14.1,CA
June,Oakdale city,2020,18.2,CA
June,Oakhurst CDP,2020,13,CA
June,Oakland city,2020,15.7,CA
June,Oakley city,2020,14.6,CA
June,Oak Park CDP,2020,14.6,CA
June,Oak View CDP,2020,13,CA
June,Occidental CDP,2020,0,CA
June,Oceano CDP,2020,14.9,CA
June,Oceanside city,2020,14.9,CA
